dataset,exp_name,time_cost
california,abs_interaction_10_10_sort_random,"0 m, 13.65 s"
california,abs_interaction_10_10_sort_sort,"0 m, 12.30 s"
california,abs_interaction_10_10_sort_prob,"0 m, 12.08 s"
california,abs_interaction_10_10_full_random,"0 m, 11.26 s"
california,abs_interaction_10_10_full_sort,"0 m, 12.21 s"
california,abs_interaction_10_10_full_prob,"0 m, 12.33 s"
california,ratio_5_5_random_random,"0 m, 4.36 s"
california,ratio_5_5_random_sort,"0 m, 4.13 s"
california,ratio_5_5_random_prob,"0 m, 4.31 s"
california,ratio_5_5_sort_random,"0 m, 3.76 s"
california,ratio_5_5_sort_sort,"0 m, 3.13 s"
california,ratio_5_5_sort_prob,"0 m, 2.97 s"
california,ratio_5_5_full_random,"0 m, 4.10 s"
california,ratio_5_5_full_sort,"0 m, 4.46 s"
california,ratio_5_5_full_prob,"0 m, 3.48 s"
california,ratio_5_10_random_random,"0 m, 6.53 s"
california,ratio_5_10_random_sort,"0 m, 6.76 s"
california,ratio_5_10_random_prob,"0 m, 7.02 s"
california,ratio_5_10_sort_random,"0 m, 5.62 s"
california,ratio_5_10_sort_sort,"0 m, 6.37 s"
california,ratio_5_10_sort_prob,"0 m, 6.64 s"
california,ratio_5_10_full_random,"0 m, 5.70 s"
california,ratio_5_10_full_sort,"0 m, 7.20 s"
california,ratio_5_10_full_prob,"0 m, 7.65 s"
california,ratio_10_5_random_random,"0 m, 5.10 s"
california,ratio_10_5_random_sort,"0 m, 7.25 s"
california,ratio_10_5_random_prob,"0 m, 5.54 s"
california,ratio_10_5_sort_random,"0 m, 5.01 s"
california,ratio_10_5_sort_sort,"0 m, 6.20 s"
california,ratio_10_5_sort_prob,"0 m, 5.94 s"
california,ratio_10_5_full_random,"0 m, 6.29 s"
california,ratio_10_5_full_sort,"0 m, 5.77 s"
california,ratio_10_5_full_prob,"0 m, 5.60 s"
california,ratio_10_10_random_random,"0 m, 13.48 s"
california,ratio_10_10_random_sort,"0 m, 13.13 s"
california,ratio_10_10_random_prob,"0 m, 11.70 s"
california,ratio_10_10_sort_random,"0 m, 10.00 s"
california,ratio_10_10_sort_sort,"0 m, 13.56 s"
california,ratio_10_10_sort_prob,"0 m, 10.70 s"
california,ratio_10_10_full_random,"0 m, 10.52 s"
california,ratio_10_10_full_sort,"0 m, 12.50 s"
california,ratio_10_10_full_prob,"0 m, 10.24 s"
