dataset,exp_name,time_cost
california,ratio_5_10_full_prob,"0 m, 7.54 s"
california,ratio_10_5_random_random,"0 m, 6.64 s"
california,ratio_10_5_random_sort,"0 m, 6.95 s"
california,ratio_10_5_random_prob,"0 m, 6.27 s"
california,ratio_10_5_sort_random,"0 m, 8.40 s"
california,ratio_10_5_sort_sort,"0 m, 6.49 s"
california,ratio_10_5_sort_prob,"0 m, 5.46 s"
california,ratio_10_5_full_random,"0 m, 5.45 s"
california,ratio_10_5_full_sort,"0 m, 8.26 s"
california,ratio_10_5_full_prob,"0 m, 6.02 s"
california,ratio_10_10_random_random,"0 m, 12.14 s"
california,ratio_10_10_random_sort,"0 m, 14.08 s"
california,ratio_10_10_random_prob,"0 m, 14.74 s"
california,ratio_10_10_sort_random,"0 m, 12.04 s"
california,ratio_10_10_sort_sort,"0 m, 12.50 s"
california,ratio_10_10_sort_prob,"0 m, 12.04 s"
california,ratio_10_10_full_random,"0 m, 12.06 s"
california,ratio_10_10_full_sort,"0 m, 14.16 s"
california,ratio_10_10_full_prob,"0 m, 12.02 s"
